[log] episode: 1/350000, collisions: 0, elapsed time: 0.10632107100173016
[log] episode: 1001/350000, collisions: 0, elapsed time: 94.43602110600114
[log] episode: 2001/350000, collisions: 0, elapsed time: 188.43755839700316
[log] episode: 3001/350000, collisions: 0, elapsed time: 282.7862206000027
[log] episode: 4001/350000, collisions: 0, elapsed time: 377.09753645500314
[log] episode: 5001/350000, collisions: 0, elapsed time: 471.5376003800011
[log] episode: 6001/350000, collisions: 0, elapsed time: 566.0557261390022
[log] episode: 7001/350000, collisions: 0, elapsed time: 660.2723723140007
[log] episode: 8001/350000, collisions: 0, elapsed time: 754.728295480003
[log] episode: 9001/350000, collisions: 0, elapsed time: 849.0840563320016
[log] episode: 10001/350000, collisions: 0, elapsed time: 943.2682212489999
[log] episode: 11001/350000, collisions: 0, elapsed time: 1037.6975535620004
[log] episode: 12001/350000, collisions: 0, elapsed time: 1132.0367876100026
[log] episode: 13001/350000, collisions: 0, elapsed time: 1226.4373521220004
[log] episode: 14001/350000, collisions: 0, elapsed time: 1320.995024197
[log] episode: 15001/350000, collisions: 0, elapsed time: 1415.2954735810017
[log] episode: 16001/350000, collisions: 0, elapsed time: 1509.636129325001
[log] episode: 17001/350000, collisions: 0, elapsed time: 1604.033730705003
[log] episode: 18001/350000, collisions: 0, elapsed time: 1698.459699168001
[log] episode: 19001/350000, collisions: 0, elapsed time: 1792.8758092120006
[log] episode: 20001/350000, collisions: 0, elapsed time: 1887.2475089500003
[log] episode: 21001/350000, collisions: 0, elapsed time: 1981.658603523003
[log] episode: 22001/350000, collisions: 0, elapsed time: 2076.112377065001
[log] episode: 23001/350000, collisions: 0, elapsed time: 2170.4469288570035
[log] episode: 24001/350000, collisions: 0, elapsed time: 2264.7846872120026
[log] episode: 25001/350000, collisions: 0, elapsed time: 2359.205499611002
[log] episode: 26001/350000, collisions: 0, elapsed time: 2453.818742143001
[log] episode: 27001/350000, collisions: 0, elapsed time: 2547.9280963210003
[log] episode: 28001/350000, collisions: 0, elapsed time: 2641.9896605950016
[log] episode: 29001/350000, collisions: 0, elapsed time: 2736.157700912001
[log] episode: 30001/350000, collisions: 0, elapsed time: 2830.234602145003
[log] episode: 31001/350000, collisions: 0, elapsed time: 2924.267601536001
[log] episode: 32001/350000, collisions: 0, elapsed time: 3018.432162033001
[system] complete run: episode: 32727, end condition: COLLISION, reward: 1.0226436045279546
[log] episode: 33001/350000, collisions: 1, elapsed time: 3113.342753975001
[log] episode: 34001/350000, collisions: 1, elapsed time: 3209.0363125370022
[log] episode: 35001/350000, collisions: 1, elapsed time: 3304.750586944003
[log] episode: 36001/350000, collisions: 1, elapsed time: 3400.5057406490014
[log] episode: 37001/350000, collisions: 1, elapsed time: 3496.3300734090008
[log] episode: 38001/350000, collisions: 1, elapsed time: 3592.098053376001
[log] episode: 39001/350000, collisions: 1, elapsed time: 3687.8697807020035
[system] complete run: episode: 39721, end condition: COLLISION, reward: 1.0331671301817271
[log] episode: 40001/350000, collisions: 2, elapsed time: 3783.778601987
[log] episode: 41001/350000, collisions: 2, elapsed time: 3879.2813628130025
[log] episode: 42001/350000, collisions: 2, elapsed time: 3974.796791803001
[log] episode: 43001/350000, collisions: 2, elapsed time: 4070.310381616
[log] episode: 44001/350000, collisions: 2, elapsed time: 4166.006525922003
[log] episode: 45001/350000, collisions: 2, elapsed time: 4261.597530801002
[log] episode: 46001/350000, collisions: 2, elapsed time: 4357.067802888003
[log] episode: 47001/350000, collisions: 2, elapsed time: 4452.524058832001
[log] episode: 48001/350000, collisions: 2, elapsed time: 4548.132809873001
[log] episode: 49001/350000, collisions: 2, elapsed time: 4644.016470111001
[log] episode: 50001/350000, collisions: 2, elapsed time: 4739.713548165
[log] episode: 51001/350000, collisions: 2, elapsed time: 4835.233157223003
[log] episode: 52001/350000, collisions: 2, elapsed time: 4931.085579861003
[log] episode: 53001/350000, collisions: 2, elapsed time: 5026.826539734
[log] episode: 54001/350000, collisions: 2, elapsed time: 5122.5291074410015
[log] episode: 55001/350000, collisions: 2, elapsed time: 5218.2722572910025
[log] episode: 56001/350000, collisions: 2, elapsed time: 5313.83333424
[log] episode: 57001/350000, collisions: 2, elapsed time: 5409.530802647001
[log] episode: 58001/350000, collisions: 2, elapsed time: 5505.245875954002
[log] episode: 59001/350000, collisions: 2, elapsed time: 5600.913169595002
[log] episode: 60001/350000, collisions: 2, elapsed time: 5696.605362586
[log] episode: 61001/350000, collisions: 2, elapsed time: 5792.422627849002
[log] episode: 62001/350000, collisions: 2, elapsed time: 5888.080139794001
[log] episode: 63001/350000, collisions: 2, elapsed time: 5983.751676788001
[log] episode: 64001/350000, collisions: 2, elapsed time: 6079.435102788
[log] episode: 65001/350000, collisions: 2, elapsed time: 6175.112460190001
[log] episode: 66001/350000, collisions: 2, elapsed time: 6270.8294914260005
[log] episode: 67001/350000, collisions: 2, elapsed time: 6366.574604330002
[log] episode: 68001/350000, collisions: 2, elapsed time: 6461.8813003580035
[log] episode: 69001/350000, collisions: 2, elapsed time: 6557.479804647002
[log] episode: 70001/350000, collisions: 2, elapsed time: 6652.864910924003
[log] episode: 71001/350000, collisions: 2, elapsed time: 6748.290830627
[log] episode: 72001/350000, collisions: 2, elapsed time: 6843.500657754001
[log] episode: 73001/350000, collisions: 2, elapsed time: 6938.917196686001
[log] episode: 74001/350000, collisions: 2, elapsed time: 7034.643539312001
[log] episode: 75001/350000, collisions: 2, elapsed time: 7130.318570444
[log] episode: 76001/350000, collisions: 2, elapsed time: 7226.116014306001
[log] episode: 77001/350000, collisions: 2, elapsed time: 7321.783803131002
[log] episode: 78001/350000, collisions: 2, elapsed time: 7417.566696254002
[log] episode: 79001/350000, collisions: 2, elapsed time: 7513.420275985001
[log] episode: 80001/350000, collisions: 2, elapsed time: 7609.134452136001
[log] episode: 81001/350000, collisions: 2, elapsed time: 7704.793846887005
[log] episode: 82001/350000, collisions: 2, elapsed time: 7800.459067100004
[log] episode: 83001/350000, collisions: 2, elapsed time: 7896.115687325
[log] episode: 84001/350000, collisions: 2, elapsed time: 7991.8883642770015
[log] episode: 85001/350000, collisions: 2, elapsed time: 8087.667745964005
[log] episode: 86001/350000, collisions: 2, elapsed time: 8183.256827687001
[log] episode: 87001/350000, collisions: 2, elapsed time: 8278.946194914002
[log] episode: 88001/350000, collisions: 2, elapsed time: 8374.746415645
[log] episode: 89001/350000, collisions: 2, elapsed time: 8470.496518745
[log] episode: 90001/350000, collisions: 2, elapsed time: 8566.246619393001
[log] episode: 91001/350000, collisions: 2, elapsed time: 8661.901616636002
[log] episode: 92001/350000, collisions: 2, elapsed time: 8757.462888568
[log] episode: 93001/350000, collisions: 2, elapsed time: 8853.120290382001
[log] episode: 94001/350000, collisions: 2, elapsed time: 8948.863290209003
[log] episode: 95001/350000, collisions: 2, elapsed time: 9044.824457768002
[log] episode: 96001/350000, collisions: 2, elapsed time: 9140.584535835005
[log] episode: 97001/350000, collisions: 2, elapsed time: 9236.328733274
[log] episode: 98001/350000, collisions: 2, elapsed time: 9331.999580606003
[log] episode: 99001/350000, collisions: 2, elapsed time: 9427.377074444004
[log] episode: 100001/350000, collisions: 2, elapsed time: 9522.797586212
[log] episode: 101001/350000, collisions: 2, elapsed time: 9618.091070144
[log] episode: 102001/350000, collisions: 2, elapsed time: 9713.435296004005
[log] episode: 103001/350000, collisions: 2, elapsed time: 9808.835016363002
[log] episode: 104001/350000, collisions: 2, elapsed time: 9904.121909173999
[log] episode: 105001/350000, collisions: 2, elapsed time: 9999.874023041004
[log] episode: 106001/350000, collisions: 2, elapsed time: 10095.144228131001
[log] episode: 107001/350000, collisions: 2, elapsed time: 10190.275406554
[log] episode: 108001/350000, collisions: 2, elapsed time: 10285.621193952
[log] episode: 109001/350000, collisions: 2, elapsed time: 10381.051953599002
[log] episode: 110001/350000, collisions: 2, elapsed time: 10476.550773006005
[log] episode: 111001/350000, collisions: 2, elapsed time: 10571.777213278001
[log] episode: 112001/350000, collisions: 2, elapsed time: 10667.145341791998
[log] episode: 113001/350000, collisions: 2, elapsed time: 10762.34810124
[log] episode: 114001/350000, collisions: 2, elapsed time: 10857.929624504999
[log] episode: 115001/350000, collisions: 2, elapsed time: 10952.989623480004
[log] episode: 116001/350000, collisions: 2, elapsed time: 11048.192649217002
[log] episode: 117001/350000, collisions: 2, elapsed time: 11143.432047191003
[log] episode: 118001/350000, collisions: 2, elapsed time: 11238.620485922998
[log] episode: 119001/350000, collisions: 2, elapsed time: 11333.935097227004
[log] episode: 120001/350000, collisions: 2, elapsed time: 11429.071305578
[log] episode: 121001/350000, collisions: 2, elapsed time: 11524.366041966001
[system] complete run: episode: 121248, end condition: COLLISION, reward: 1.034688275148751
[log] episode: 122001/350000, collisions: 3, elapsed time: 11619.783540139004
[log] episode: 123001/350000, collisions: 3, elapsed time: 11714.993634554005
[log] episode: 124001/350000, collisions: 3, elapsed time: 11810.277942459004
[log] episode: 125001/350000, collisions: 3, elapsed time: 11905.773806228004
[log] episode: 126001/350000, collisions: 3, elapsed time: 12001.242038238
[log] episode: 127001/350000, collisions: 3, elapsed time: 12096.750450523003
[log] episode: 128001/350000, collisions: 3, elapsed time: 12192.356086368003
[log] episode: 129001/350000, collisions: 3, elapsed time: 12287.874582006
[log] episode: 130001/350000, collisions: 3, elapsed time: 12383.320144202
[log] episode: 131001/350000, collisions: 3, elapsed time: 12478.984646083001
[log] episode: 132001/350000, collisions: 3, elapsed time: 12574.759490645003
[log] episode: 133001/350000, collisions: 3, elapsed time: 12670.378077590001
[log] episode: 134001/350000, collisions: 3, elapsed time: 12765.897704558003
[log] episode: 135001/350000, collisions: 3, elapsed time: 12861.353709382005
[log] episode: 136001/350000, collisions: 3, elapsed time: 12956.754391723
[log] episode: 137001/350000, collisions: 3, elapsed time: 13052.282176387002
[log] episode: 138001/350000, collisions: 3, elapsed time: 13147.961082271002
[log] episode: 139001/350000, collisions: 3, elapsed time: 13243.589020846004
[log] episode: 140001/350000, collisions: 3, elapsed time: 13339.040391319002
[log] episode: 141001/350000, collisions: 3, elapsed time: 13434.398431495
[log] episode: 142001/350000, collisions: 3, elapsed time: 13529.919320588
[log] episode: 143001/350000, collisions: 3, elapsed time: 13625.432021054003
[log] episode: 144001/350000, collisions: 3, elapsed time: 13720.966247068005
[log] episode: 145001/350000, collisions: 3, elapsed time: 13816.373482597002
[log] episode: 146001/350000, collisions: 3, elapsed time: 13911.922541139
[log] episode: 147001/350000, collisions: 3, elapsed time: 14007.315703402004
[log] episode: 148001/350000, collisions: 3, elapsed time: 14102.822084268999
[log] episode: 149001/350000, collisions: 3, elapsed time: 14198.468450719003
[log] episode: 150001/350000, collisions: 3, elapsed time: 14293.977770969002
[log] episode: 151001/350000, collisions: 3, elapsed time: 14389.486616066999
[log] episode: 152001/350000, collisions: 3, elapsed time: 14485.285913651001
[log] episode: 153001/350000, collisions: 3, elapsed time: 14580.843989652
[log] episode: 154001/350000, collisions: 3, elapsed time: 14676.422951584005
[log] episode: 155001/350000, collisions: 3, elapsed time: 14771.966509172002
[log] episode: 156001/350000, collisions: 3, elapsed time: 14867.422538887004
[log] episode: 157001/350000, collisions: 3, elapsed time: 14962.911251192003
[log] episode: 158001/350000, collisions: 3, elapsed time: 15058.447125658
[log] episode: 159001/350000, collisions: 3, elapsed time: 15153.876813448005
[log] episode: 160001/350000, collisions: 3, elapsed time: 15249.207470195004
