Episode: 1, Rob: 0.2561322217052863
Episode: 2, Rob: 0.2656179516295051
Episode: 3, Rob: 0.242090006981929
Episode: 4, Rob: 0.23750469524805146
Episode: 5, Rob: 0.3456473590890791
Episode: 6, Rob: 0.3761859675978779
Episode: 7, Rob: 0.2747065548862866
Episode: 8, Rob: 0.29940130664958814
Episode: 9, Rob: 0.3391940296542235
Episode: 10, Rob: 0.33161088547292056
Episode: 11, Rob: 0.3936751058879061
Episode: 12, Rob: 0.23107563234518047
Episode: 13, Rob: 0.2662424164299359
Episode: 14, Rob: 0.30240543849095664
Episode: 15, Rob: 0.23599910903748839
Episode: 16, Rob: 0.3253104020797237
Episode: 17, Rob: 0.3585198130343119
Episode: 18, Rob: 0.28420883412196685
Episode: 19, Rob: 0.36533805584141554
Episode: 20, Rob: 0.2671931306941917
Episode: 21, Rob: 0.21806403102199307
Episode: 22, Rob: 0.24367982000252048
Episode: 23, Rob: 0.2854783013625234
Episode: 24, Rob: 0.33113659043202887
Episode: 25, Rob: 0.350563805576854
Episode: 26, Rob: 0.23247841128300567
Episode: 27, Rob: 0.2792729921019751
Episode: 28, Rob: 0.30684061009722635
Episode: 29, Rob: 0.35267428031977044
Episode: 30, Rob: 0.23737054464896518
Episode: 31, Rob: 0.25322684024242953
Episode: 32, Rob: 0.30403966818532246
Episode: 33, Rob: 0.2583938028544731
Episode: 34, Rob: 0.20281554833516724
Episode: 35, Rob: 0.34362881557807157
Episode: 36, Rob: 0.31591474530409897
Episode: 37, Rob: 0.38391680182237453
Episode: 38, Rob: 0.24803716928088448
Episode: 39, Rob: 0.2755461324233989
Episode: 40, Rob: 0.34549993045677435
Episode: 41, Rob: 0.1785086361499728
Episode: 42, Rob: 0.3504534042457197
Episode: 43, Rob: 0.2768514628623006
Episode: 44, Rob: 0.40899912979466246
Episode: 45, Rob: 0.34545758125682113
Episode: 46, Rob: 0.4362491433319394
Episode: 47, Rob: 0.36582597382939963
Episode: 48, Rob: 0.31288498660640646
Episode: 49, Rob: 0.29112156992126337
Episode: 50, Rob: 0.2686868887414382
Episode: 51, Rob: 0.33004945782010653
Episode: 52, Rob: 0.26041927617037697
Episode: 53, Rob: 0.2354275654158497
Episode: 54, Rob: 0.40919832608608586
Episode: 55, Rob: 0.33430773893967786
Episode: 56, Rob: 0.3765133940572258
Episode: 57, Rob: 0.3325616958387102
Episode: 58, Rob: 0.18744243553141038
Episode: 59, Rob: 0.3761027247783603
Episode: 60, Rob: 0.15448400540349816
Episode: 61, Rob: 0.28768682244100513
Episode: 62, Rob: 0.2924823449755392
Episode: 63, Rob: 0.16622436484309144
Episode: 64, Rob: 0.2574231696218262
Episode: 65, Rob: 0.15510933506901536
Episode: 66, Rob: 0.4050817673298337
Episode: 67, Rob: 0.32954174611739473
Episode: 68, Rob: 0.24571767973241954
Episode: 69, Rob: 0.35765838461347454
Episode: 70, Rob: 0.31971384302802913
Episode: 71, Rob: 0.2207681835825671
Episode: 72, Rob: 0.29091522421044475
Episode: 73, Rob: 0.30666922479291914
Episode: 74, Rob: 0.37131011370269884
Episode: 75, Rob: 0.4065648771029753
Episode: 76, Rob: 0.22348133531025394
Episode: 77, Rob: 0.3373589132207674
Episode: 78, Rob: 0.2825756094458471
Episode: 79, Rob: 0.3256592462364853
Episode: 80, Rob: 0.2590625195391396
Episode: 81, Rob: 0.3176428168636079
Episode: 82, Rob: 0.41575988744814957
Episode: 83, Rob: 0.2961775337688522
Episode: 84, Rob: 0.19699452220036828
Episode: 85, Rob: 0.36644510030386757
Episode: 86, Rob: 0.3594669410428094
Episode: 87, Rob: 0.3538654596561909
Episode: 88, Rob: 0.2992204631672613
Episode: 89, Rob: 0.21591609171772158
Episode: 90, Rob: 0.399999999999999
Episode: 91, Rob: 0.329451831748796
Episode: 92, Rob: 0.38606875213019387
Episode: 93, Rob: 0.22697901878866472
Episode: 94, Rob: 0.17900347336089262
Episode: 95, Rob: 0.37593498836707395
Episode: 96, Rob: 0.35224884447505106
Episode: 97, Rob: 0.39514647456736746
Episode: 98, Rob: 0.11843522554570596
Episode: 99, Rob: 0.19104440031779246
Episode: 100, Rob: 0.2520693415214304
Rob: sum: 29.867059026896428, num samples: 100 -> avg rob: 0.29867059026896425
[Result] 100 Simulations (plot=False) in 1.4385469099997863 seconds. Num collisions: 0
