[Info] Start offline testing, model: out_prod/TR/1000000/2020-04-08_22-10-53_rscale_False_statevars_8_hidinit_glorot_uniform_hidact_leakyrelu_batch_32_mem_200000_1000_opt_sgd_lr_0.01_isplit_n_100_k_10_d_0.01/1/models/weights_1000056.h5
[Info] Offline Testing with N=200, K=10, Delta=0.01. Num iterations=50
 67/inf: episode: 1, level: 0, particle: 0, episode steps: 67, episode reward: 0.8444, episode rob: 0.1691, new memory entries: 68
 133/inf: episode: 2, level: 0, particle: 1, episode steps: 66, episode reward: 0.8597, episode rob: 0.1512, new memory entries: 67
 200/inf: episode: 3, level: 0, particle: 2, episode steps: 67, episode reward: 0.8701, episode rob: 0.1391, new memory entries: 68
 267/inf: episode: 4, level: 0, particle: 3, episode steps: 67, episode reward: 0.8592, episode rob: 0.1518, new memory entries: 68
 333/inf: episode: 5, level: 0, particle: 4, episode steps: 66, episode reward: 0.8602, episode rob: 0.1506, new memory entries: 67
 400/inf: episode: 6, level: 0, particle: 5, episode steps: 67, episode reward: 0.8978, episode rob: 0.1079, new memory entries: 68
 466/inf: episode: 7, level: 0, particle: 6, episode steps: 66, episode reward: 0.8974, episode rob: 0.1083, new memory entries: 67
 532/inf: episode: 8, level: 0, particle: 7, episode steps: 66, episode reward: 0.8993, episode rob: 0.1061, new memory entries: 67
 599/inf: episode: 9, level: 0, particle: 8, episode steps: 67, episode reward: 0.8350, episode rob: 0.1803, new memory entries: 68
 666/inf: episode: 10, level: 0, particle: 9, episode steps: 67, episode reward: 0.8786, episode rob: 0.1294, new memory entries: 68
 732/inf: episode: 11, level: 0, particle: 10, episode steps: 66, episode reward: 0.8827, episode rob: 0.1247, new memory entries: 67
 799/inf: episode: 12, level: 0, particle: 11, episode steps: 67, episode reward: 0.8426, episode rob: 0.1713, new memory entries: 68
 865/inf: episode: 13, level: 0, particle: 12, episode steps: 66, episode reward: 0.8732, episode rob: 0.1356, new memory entries: 67
 932/inf: episode: 14, level: 0, particle: 13, episode steps: 67, episode reward: 0.8681, episode rob: 0.1415, new memory entries: 68
 999/inf: episode: 15, level: 0, particle: 14, episode steps: 67, episode reward: 0.8692, episode rob: 0.1402, new memory entries: 68
 1066/inf: episode: 16, level: 0, particle: 15, episode steps: 67, episode reward: 0.8417, episode rob: 0.1724, new memory entries: 68
 1133/inf: episode: 17, level: 0, particle: 16, episode steps: 67, episode reward: 0.8760, episode rob: 0.1324, new memory entries: 68
 1200/inf: episode: 18, level: 0, particle: 17, episode steps: 67, episode reward: 0.8221, episode rob: 0.1959, new memory entries: 68
 1266/inf: episode: 19, level: 0, particle: 18, episode steps: 66, episode reward: 0.8600, episode rob: 0.1508, new memory entries: 67
 1332/inf: episode: 20, level: 0, particle: 19, episode steps: 66, episode reward: 0.8692, episode rob: 0.1402, new memory entries: 67
 1398/inf: episode: 21, level: 0, particle: 20, episode steps: 66, episode reward: 0.8792, episode rob: 0.1288, new memory entries: 67
 1465/inf: episode: 22, level: 0, particle: 21, episode steps: 67, episode reward: 0.8172, episode rob: 0.2019, new memory entries: 68
 1531/inf: episode: 23, level: 0, particle: 22, episode steps: 66, episode reward: 0.8701, episode rob: 0.1392, new memory entries: 67
 1598/inf: episode: 24, level: 0, particle: 23, episode steps: 67, episode reward: 0.8184, episode rob: 0.2004, new memory entries: 68
 1665/inf: episode: 25, level: 0, particle: 24, episode steps: 67, episode reward: 0.8498, episode rob: 0.1628, new memory entries: 68
 1732/inf: episode: 26, level: 0, particle: 25, episode steps: 67, episode reward: 0.8383, episode rob: 0.1764, new memory entries: 68
 1798/inf: episode: 27, level: 0, particle: 26, episode steps: 66, episode reward: 0.8598, episode rob: 0.1511, new memory entries: 67
 1865/inf: episode: 28, level: 0, particle: 27, episode steps: 67, episode reward: 0.8613, episode rob: 0.1493, new memory entries: 68
 1931/inf: episode: 29, level: 0, particle: 28, episode steps: 66, episode reward: 0.8625, episode rob: 0.1479, new memory entries: 67
 1998/inf: episode: 30, level: 0, particle: 29, episode steps: 67, episode reward: 0.8241, episode rob: 0.1935, new memory entries: 68
 2066/inf: episode: 31, level: 0, particle: 30, episode steps: 68, episode reward: 0.8619, episode rob: 0.1486, new memory entries: 69
 2133/inf: episode: 32, level: 0, particle: 31, episode steps: 67, episode reward: 0.8318, episode rob: 0.1841, new memory entries: 68
 2200/inf: episode: 33, level: 0, particle: 32, episode steps: 67, episode reward: 0.8591, episode rob: 0.1518, new memory entries: 68
 2267/inf: episode: 34, level: 0, particle: 33, episode steps: 67, episode reward: 0.8690, episode rob: 0.1404, new memory entries: 68
 2334/inf: episode: 35, level: 0, particle: 34, episode steps: 67, episode reward: 0.8587, episode rob: 0.1523, new memory entries: 68
 2401/inf: episode: 36, level: 0, particle: 35, episode steps: 67, episode reward: 0.8220, episode rob: 0.1961, new memory entries: 68
 2469/inf: episode: 37, level: 0, particle: 36, episode steps: 68, episode reward: 0.8498, episode rob: 0.1628, new memory entries: 69
 2535/inf: episode: 38, level: 0, particle: 37, episode steps: 66, episode reward: 0.8765, episode rob: 0.1318, new memory entries: 67
 2602/inf: episode: 39, level: 0, particle: 38, episode steps: 67, episode reward: 0.8589, episode rob: 0.1521, new memory entries: 68
 2668/inf: episode: 40, level: 0, particle: 39, episode steps: 66, episode reward: 0.8933, episode rob: 0.1129, new memory entries: 67
 2735/inf: episode: 41, level: 0, particle: 40, episode steps: 67, episode reward: 0.8446, episode rob: 0.1689, new memory entries: 68
 2802/inf: episode: 42, level: 0, particle: 41, episode steps: 67, episode reward: 0.8536, episode rob: 0.1583, new memory entries: 68
 2868/inf: episode: 43, level: 0, particle: 42, episode steps: 66, episode reward: 0.8909, episode rob: 0.1156, new memory entries: 67
 2936/inf: episode: 44, level: 0, particle: 43, episode steps: 68, episode reward: 0.8185, episode rob: 0.2003, new memory entries: 69
 3003/inf: episode: 45, level: 0, particle: 44, episode steps: 67, episode reward: 0.8400, episode rob: 0.1743, new memory entries: 68
 3068/inf: episode: 46, level: 0, particle: 45, episode steps: 65, episode reward: 0.9091, episode rob: 0.0953, new memory entries: 66
 3134/inf: episode: 47, level: 0, particle: 46, episode steps: 66, episode reward: 0.8779, episode rob: 0.1302, new memory entries: 67
 3200/inf: episode: 48, level: 0, particle: 47, episode steps: 66, episode reward: 0.8921, episode rob: 0.1142, new memory entries: 67
 3267/inf: episode: 49, level: 0, particle: 48, episode steps: 67, episode reward: 0.8877, episode rob: 0.1192, new memory entries: 68
 3334/inf: episode: 50, level: 0, particle: 49, episode steps: 67, episode reward: 0.8410, episode rob: 0.1731, new memory entries: 68
 3400/inf: episode: 51, level: 0, particle: 50, episode steps: 66, episode reward: 0.8597, episode rob: 0.1511, new memory entries: 67
 3467/inf: episode: 52, level: 0, particle: 51, episode steps: 67, episode reward: 0.8434, episode rob: 0.1703, new memory entries: 68
 3534/inf: episode: 53, level: 0, particle: 52, episode steps: 67, episode reward: 0.8584, episode rob: 0.1527, new memory entries: 68
